Claim Amount,Coverage,Education,Employment Status,Income,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Claim Reason,Sales Channel,Fraudulent
258,Basic,Bachelor,Employed,68074,Married,65,12,62,Other,Branch,0
4477,Extended,High School,Unemployed,0,Married,131,20,59,Scratch or Dent,Agent,0
740,Extended,Master,Employed,71135,Married,92,11,64,Collision,Branch,0
433,Basic,College,Unemployed,0,Single,61,30,35,Scratch or Dent,Agent,1
908,Basic,Master,Employed,37722,Single,116,8,23,Collision,Agent,0
1464,Extended,Bachelor,Unemployed,0,Divorced,139,5,56,Collision,CallCenter,0
561,Basic,College,Employed,44705,Divorced,71,21,63,Collision,Branch,0
1157,Extended,College,Employed,64642,Married,96,3,79,Scratch or Dent,Branch,0
277,Basic,College,Employed,50071,Single,71,3,32,Hail,Agent,0
851,Basic,High School,Employed,46754,Married,106,5,70,Scratch or Dent,Web,1
758,Basic,College,Employed,64801,Married,64,23,19,Hail,Web,0
332,Extended,Bachelor,Employed,70410,Married,83,25,13,Hail,Web,0
523,Extended,High School,Employed,66957,Married,131,31,4,Hail,Web,0
2471,Extended,High School,Employed,24213,Single,78,11,28,Hail,Agent,0
312,Basic,Bachelor,Unemployed,0,Married,101,1,83,Collision,Agent,0
255,Basic,Master,Employed,79751,Married,63,15,67,Scratch or Dent,Web,0
725,Basic,High School,Employed,86122,Married,182,33,54,Hail,Agent,0
454,Basic,Bachelor,Employed,82297,Single,116,5,62,Collision,CallCenter,0
269,Basic,Doctor,Employed,82210,Married,68,33,46,Scratch or Dent,CallCenter,0
873,Basic,High School,Employed,43259,Married,73,12,18,Collision,Branch,0
833,Extended,College,Unemployed,0,Married,79,7,72,Hail,Web,0
236,Basic,College,Disabled,25064,Married,62,17,34,Collision,CallCenter,0
464,Basic,Master,Employed,25816,Single,119,18,63,Scratch or Dent,Agent,0
536,Basic,Bachelor,Unemployed,0,Married,73,14,74,Collision,CallCenter,0
539,Basic,College,Employed,41662,Divorced,69,27,73,Collision,Agent,0
369,Extended,Bachelor,Employed,96170,Married,92,8,86,Hail,CallCenter,0
504,Basic,High School,Employed,46072,Single,64,0,61,Collision,Branch,0
2750,Extended,High School,Employed,37931,Married,99,8,31,Hail,Branch,0
484,Basic,High School,Employed,35127,Married,62,9,21,Hail,Agent,0
268,Basic,Doctor,Employed,72450,Married,66,21,58,Other,Branch,0
523,Extended,College,Employed,93087,Married,131,14,25,Collision,Agent,0
259,Basic,High School,Employed,22398,Married,67,23,76,Collision,Agent,0
1054,Extended,High School,Employed,92983,Married,87,9,77,Collision,Agent,0
858,Extended,Bachelor,Medical Leave,27689,Married,239,0,72,Hail,Web,0
946,Basic,College,Employed,69654,Married,118,10,50,Collision,Branch,0
1344,Basic,Bachelor,Employed,80744,Married,111,15,19,Scratch or Dent,Web,0
389,Basic,Bachelor,Unemployed,0,Single,112,13,59,Collision,Agent,0
678,Basic,High School,Unemployed,0,Single,64,7,5,Collision,CallCenter,1
2359,Basic,Bachelor,Employed,76358,Married,66,25,3,Scratch or Dent,Agent,0
254,Basic,Bachelor,Retired,18608,Divorced,71,13,24,Hail,Web,1
564,Basic,High School,Employed,73168,Married,70,21,50,Hail,Agent,0
246,Basic,High School,Employed,21190,Married,65,24,68,Hail,CallCenter,0
267,Basic,College,Employed,94041,Married,66,14,11,Scratch or Dent,Agent,0
1378,Premium,Master,Employed,91474,Married,113,9,99,Scratch or Dent,Branch,0
492,Basic,Bachelor,Employed,61469,Married,63,16,65,Scratch or Dent,Branch,0
227,Basic,High School,Medical Leave,16618,Single,62,0,40,Scratch or Dent,Branch,1
1490,Basic,Bachelor,Employed,48081,Married,188,31,12,Collision,Branch,0
976,Extended,Doctor,Employed,67632,Married,121,0,44,Collision,Branch,0
942,Basic,Bachelor,Employed,34115,Married,119,6,73,Collision,Agent,0
384,Extended,High School,Medical Leave,23051,Divorced,99,31,86,Collision,Agent,0
1095,Extended,College,Medical Leave,23748,Married,99,0,24,Hail,Agent,0
816,Basic,College,Employed,40589,Divorced,69,23,68,Other,Branch,0
1948,Extended,College,Employed,50809,Single,83,29,58,Collision,Branch,0
392,Extended,High School,Employed,66676,Married,97,0,40,Scratch or Dent,Agent,0
799,Basic,Bachelor,Employed,52339,Divorced,70,7,55,Scratch or Dent,Web,1
1217,Basic,Bachelor,Retired,14973,Divorced,115,2,75,Collision,Branch,0
585,Extended,High School,Unemployed,0,Single,83,2,47,Scratch or Dent,Agent,1
509,Basic,Bachelor,Employed,31546,Divorced,65,4,83,Collision,Branch,0
290,Basic,College,Employed,67763,Married,73,17,69,Collision,Agent,0
3116,Extended,High School,Employed,83170,Married,97,0,53,Hail,Agent,0
309,Extended,Master,Medical Leave,19464,Single,84,10,94,Scratch or Dent,Agent,0
518,Basic,College,Employed,66943,Married,65,33,10,Scratch or Dent,CallCenter,0
1402,Premium,High School,Employed,81872,Married,115,10,55,Hail,Web,1
1064,Extended,Master,Employed,50450,Single,90,11,68,Other,Branch,0
495,Basic,High School,Employed,21342,Married,62,34,72,Scratch or Dent,Agent,0
860,Basic,Bachelor,Employed,34621,Married,108,21,32,Collision,Branch,0
2295,Basic,College,Employed,62396,Married,64,13,18,Scratch or Dent,CallCenter,0
379,Extended,High School,Employed,97212,Married,93,28,61,Hail,CallCenter,0
276,Basic,Bachelor,Employed,49648,Divorced,70,0,23,Hail,CallCenter,0
488,Basic,College,Employed,97984,Married,61,1,36,Hail,Agent,0
905,Basic,College,Employed,26308,Married,114,10,30,Scratch or Dent,Web,0
1012,Premium,College,Employed,63528,Divorced,256,15,23,Hail,Agent,0
827,Basic,College,Medical Leave,20225,Married,114,27,64,Scratch or Dent,CallCenter,0
807,Basic,High School,Unemployed,0,Single,112,3,84,Collision,Web,1
773,Basic,High School,Employed,87620,Married,64,3,15,Scratch or Dent,CallCenter,1
831,Basic,Bachelor,Unemployed,0,Married,72,22,79,Hail,Agent,0
257,Basic,Master,Employed,34990,Single,65,23,73,Hail,Web,1
573,Basic,Bachelor,Employed,99934,Married,71,9,12,Other,Web,0
544,Basic,Bachelor,Employed,85702,Married,67,9,74,Other,Branch,0
274,Basic,Bachelor,Employed,94648,Divorced,69,19,64,Collision,Branch,0
564,Basic,High School,Employed,24516,Married,71,11,23,Scratch or Dent,CallCenter,0
1687,Extended,Bachelor,Employed,61063,Married,85,21,4,Hail,Agent,0
274,Basic,Master,Unemployed,0,Married,74,27,91,Collision,Branch,0
464,Basic,Bachelor,Unemployed,0,Divorced,64,23,71,Scratch or Dent,Branch,0
475,Basic,High School,Disabled,15169,Married,63,34,15,Other,Web,0
1687,Basic,College,Employed,55390,Married,71,34,29,Scratch or Dent,Branch,0
239,Basic,Bachelor,Disabled,27592,Married,62,6,29,Collision,Branch,0
250,Basic,High School,Employed,88264,Married,62,8,34,Collision,Branch,0
459,Basic,High School,Employed,83297,Married,113,6,28,Hail,CallCenter,0
1309,Basic,College,Unemployed,0,Single,188,35,82,Collision,CallCenter,0
911,Extended,Bachelor,Unemployed,0,Single,90,21,21,Collision,Agent,0
417,Premium,High School,Employed,55897,Married,104,33,5,Collision,Branch,0
266,Basic,Bachelor,Employed,21297,Single,71,26,56,Hail,Agent,0
1199,Extended,Master,Employed,87560,Married,98,4,86,Collision,Web,0
290,Extended,High School,Unemployed,0,Single,96,5,7,Hail,Agent,1
289,Extended,Bachelor,Unemployed,0,Single,85,3,53,Scratch or Dent,Agent,0
350,Extended,Doctor,Employed,89398,Married,86,5,57,Other,Branch,0
262,Basic,College,Employed,36843,Married,68,12,11,Other,Agent,0
1022,Extended,College,Unemployed,0,Married,134,23,16,Collision,Agent,0
258,Basic,High School,Employed,34946,Married,65,30,63,Hail,CallCenter,0
624,Extended,College,Employed,75680,Married,78,27,6,Hail,Agent,0
522,Basic,Doctor,Unemployed,0,Married,69,23,13,Other,Agent,0
908,Basic,Master,Employed,37722,Single,116,8,23,Collision,Agent,0
453,Basic,Bachelor,Medical Leave,10269,Single,65,12,5,Collision,Agent,0
497,Basic,College,Employed,49714,Married,63,29,64,Scratch or Dent,Branch,0
1547,Extended,High School,Employed,77517,Married,129,19,20,Scratch or Dent,Branch,0
584,Basic,High School,Employed,81082,Married,73,5,85,Hail,Agent,0
1066,Extended,Bachelor,Employed,72540,Married,88,7,3,Hail,CallCenter,0
229,Basic,High School,Unemployed,0,Single,65,8,58,Hail,Branch,1
544,Basic,High School,Employed,61546,Married,68,4,27,Other,CallCenter,0
796,Basic,Master,Employed,44818,Divorced,67,25,41,Collision,Web,0
446,Basic,Bachelor,Retired,17622,Divorced,65,1,36,Collision,Agent,0
256,Basic,College,Unemployed,0,Single,72,14,24,Hail,Agent,1
331,Extended,Bachelor,Employed,79797,Divorced,84,27,46,Other,Branch,0
504,Basic,Bachelor,Employed,36234,Married,63,0,44,Scratch or Dent,Web,0
1335,Premium,College,Employed,28919,Single,173,5,88,Scratch or Dent,Agent,0
493,Basic,College,Unemployed,0,Married,68,6,93,Collision,Agent,0
778,Basic,Bachelor,Employed,63568,Married,65,19,5,Other,Agent,0
255,Basic,College,Employed,73935,Married,64,13,29,Other,CallCenter,0
488,Basic,High School,Unemployed,0,Married,66,15,56,Hail,Branch,0
903,Basic,Bachelor,Medical Leave,18846,Married,115,16,84,Collision,Agent,0
811,Basic,High School,Employed,38893,Single,103,19,40,Hail,Agent,0
562,Premium,High School,Unemployed,0,Married,153,25,5,Hail,Web,1
1573,Premium,Bachelor,Employed,84824,Married,196,7,4,Hail,Branch,0
662,Extended,High School,Medical Leave,20068,Married,86,8,28,Collision,Web,0
467,Extended,Doctor,Unemployed,0,Married,125,21,34,Collision,Branch,0
1017,Extended,High School,Unemployed,0,Married,135,32,61,Collision,Agent,0
832,Basic,Bachelor,Employed,97245,Divorced,70,29,29,Hail,Web,1
242,Basic,College,Employed,51808,Married,61,3,12,Collision,Agent,0
804,Basic,Bachelor,Employed,71391,Married,67,29,39,Hail,Agent,0
533,Basic,High School,Unemployed,0,Married,73,17,44,Hail,CallCenter,1
695,Basic,Bachelor,Unemployed,0,Single,100,5,54,Hail,CallCenter,1
585,Extended,College,Medical Leave,23496,Married,77,17,88,Scratch or Dent,Web,0
258,Basic,High School,Employed,22562,Married,65,4,81,Collision,Branch,0
472,Basic,College,Employed,23986,Married,119,31,3,Hail,CallCenter,0
279,Basic,Master,Medical Leave,22974,Married,71,0,8,Other,CallCenter,0
2153,Premium,High School,Unemployed,0,Single,101,21,35,Collision,Branch,0
1262,Basic,Bachelor,Employed,61844,Divorced,106,19,74,Collision,CallCenter,0
2017,Basic,Doctor,Employed,24804,Married,73,19,98,Scratch or Dent,CallCenter,0
1646,Basic,Bachelor,Employed,27760,Married,104,13,71,Collision,Web,0
560,Basic,High School,Employed,74454,Single,71,25,29,Hail,CallCenter,1
417,Basic,Master,Employed,29462,Single,107,28,23,Hail,Branch,0
267,Basic,College,Employed,52266,Single,68,14,98,Collision,CallCenter,0
710,Basic,Bachelor,Unemployed,0,Single,70,18,99,Collision,Agent,0
397,Basic,Doctor,Employed,23599,Single,103,20,46,Hail,Agent,0
553,Basic,Bachelor,Employed,36088,Single,72,16,31,Collision,Agent,0
834,Premium,High School,Employed,70534,Divorced,104,31,71,Scratch or Dent,Branch,0
3845,Extended,College,Employed,27398,Married,125,4,71,Other,CallCenter,0
545,Basic,Bachelor,Employed,85296,Married,68,15,47,Scratch or Dent,Web,0
1081,Extended,High School,Employed,31063,Married,92,20,19,Hail,Agent,0
619,Extended,Bachelor,Unemployed,0,Single,92,8,28,Collision,Branch,0
321,Extended,High School,Employed,52367,Married,81,25,64,Hail,CallCenter,0
548,Basic,College,Employed,58651,Single,71,6,95,Other,CallCenter,0
2299,Premium,College,Employed,84831,Single,192,13,37,Collision,Branch,0
1311,Basic,Bachelor,Employed,49088,Divorced,114,17,87,Scratch or Dent,Branch,0
746,Extended,College,Employed,70263,Married,93,30,66,Hail,CallCenter,0
1146,Premium,Doctor,Employed,45354,Married,285,5,51,Other,Agent,0
724,Basic,High School,Unemployed,0,Married,63,11,73,Scratch or Dent,CallCenter,1
623,Extended,Bachelor,Disabled,28334,Single,83,3,44,Collision,Agent,0
2839,Extended,Bachelor,Employed,38772,Married,90,8,87,Collision,Branch,0
375,Extended,College,Employed,41479,Married,94,14,38,Hail,CallCenter,0
2157,Basic,Bachelor,Retired,23909,Single,119,21,86,Collision,Agent,0
501,Basic,College,Employed,48328,Married,63,22,12,Hail,Branch,0
337,Extended,High School,Employed,86689,Single,85,3,72,Hail,Agent,0
386,Extended,Bachelor,Employed,24204,Married,99,25,41,Hail,Branch,0
415,Premium,College,Disabled,25943,Married,110,26,83,Collision,Branch,0
516,Basic,High School,Unemployed,0,Single,73,5,72,Collision,Branch,0
367,Extended,College,Employed,62375,Married,92,34,34,Scratch or Dent,Web,0
784,Basic,High School,Unemployed,0,Married,71,7,24,Other,Web,1
1457,Premium,Bachelor,Unemployed,0,Single,148,8,18,Collision,Agent,0
1017,Basic,Bachelor,Employed,70200,Divorced,65,25,10,Hail,Agent,0
414,Premium,Bachelor,Unemployed,0,Married,112,16,62,Scratch or Dent,Agent,0
551,Basic,College,Employed,79027,Single,70,13,37,Collision,Agent,0
243,Basic,High School,Medical Leave,26736,Married,63,6,64,Collision,Agent,0
541,Basic,High School,Employed,26893,Married,68,1,31,Other,Agent,0
742,Extended,High School,Employed,47406,Married,94,2,96,Collision,Agent,0
446,Basic,Bachelor,Retired,17622,Divorced,65,1,36,Collision,Agent,0
1448,Extended,College,Disabled,27572,Married,124,11,57,Scratch or Dent,Branch,0
494,Basic,College,Unemployed,0,Single,72,7,34,Hail,Agent,1
453,Basic,Bachelor,Employed,32802,Married,114,31,8,Hail,CallCenter,0
670,Extended,College,Medical Leave,18400,Married,89,26,52,Hail,Agent,0
1413,Basic,Bachelor,Employed,90844,Divorced,118,10,98,Collision,Agent,0
2472,Basic,High School,Employed,44685,Married,69,1,41,Hail,Agent,0
284,Extended,Bachelor,Unemployed,0,Divorced,80,30,8,Collision,Web,0
385,Extended,High School,Employed,42589,Divorced,98,8,73,Collision,Agent,0
1950,Basic,Bachelor,Unemployed,0,Single,72,17,55,Scratch or Dent,Agent,1
2690,Basic,Bachelor,Employed,63009,Married,112,17,49,Scratch or Dent,CallCenter,0
436,Premium,High School,Employed,79583,Married,109,12,76,Collision,Agent,0
253,Basic,High School,Employed,89129,Single,64,24,93,Hail,Branch,1
250,Basic,College,Unemployed,0,Single,69,23,15,Hail,Branch,0
865,Basic,Bachelor,Employed,94389,Married,107,16,76,Hail,CallCenter,0
1367,Premium,College,Unemployed,0,Single,197,5,50,Collision,CallCenter,0
2064,Basic,High School,Employed,84106,Single,64,0,86,Collision,Branch,0
252,Basic,College,Unemployed,0,Married,69,2,71,Hail,CallCenter,0
533,Basic,High School,Employed,76717,Married,66,26,10,Other,CallCenter,0
260,Basic,High School,Employed,51978,Married,66,18,81,Hail,Agent,0
853,Basic,Bachelor,Employed,47325,Married,107,0,92,Collision,Web,0
883,Basic,High School,Employed,86721,Divorced,111,33,10,Other,CallCenter,0
225,Basic,Bachelor,Retired,24910,Single,63,7,63,Collision,Branch,0
886,Basic,College,Employed,90125,Married,110,1,72,Scratch or Dent,Branch,0
456,Basic,High School,Unemployed,0,Single,73,24,40,Collision,Agent,0
253,Basic,Bachelor,Employed,89451,Single,63,11,2,Hail,Web,1
525,Basic,College,Employed,59537,Married,66,23,5,Collision,Branch,0
674,Basic,High School,Unemployed,0,Single,199,6,37,Other,CallCenter,1
1401,Basic,College,Employed,54193,Married,117,2,83,Collision,CallCenter,0
944,Premium,College,Employed,86946,Married,118,13,14,Hail,Agent,0
1051,Extended,Bachelor,Unemployed,0,Married,92,15,36,Collision,Branch,0
421,Premium,High School,Disabled,12160,Married,109,5,34,Hail,Agent,0
477,Basic,College,Employed,33701,Single,63,16,67,Scratch or Dent,Agent,0
455,Premium,Bachelor,Employed,33531,Married,116,11,15,Other,Agent,0
284,Basic,Bachelor,Employed,69417,Divorced,73,30,78,Collision,Branch,0
306,Extended,Master,Employed,38644,Married,78,28,0,Scratch or Dent,Web,0
2031,Basic,High School,Employed,63209,Married,102,20,28,Collision,Agent,0
324,Extended,Bachelor,Disabled,16061,Single,88,26,23,Scratch or Dent,Web,0
463,Basic,Master,Employed,79487,Divorced,114,20,87,Hail,Branch,0
900,Premium,College,Employed,54230,Married,112,10,21,Hail,Agent,0
2581,Extended,College,Employed,71210,Married,214,8,89,Collision,Branch,0
381,Extended,College,Employed,94903,Married,94,3,38,Hail,Agent,0
761,Extended,Bachelor,Employed,27293,Married,96,20,55,Hail,Web,0
690,Premium,Master,Employed,70950,Married,171,6,12,Other,CallCenter,0
230,Basic,College,Unemployed,0,Married,63,19,9,Hail,Branch,0
281,Basic,Doctor,Employed,37009,Single,71,1,45,Collision,Branch,0
521,Basic,College,Employed,52629,Married,65,30,22,Collision,Branch,0
4571,Basic,Bachelor,Employed,31264,Divorced,198,9,54,Hail,Branch,0
801,Basic,College,Employed,65473,Married,67,4,14,Hail,CallCenter,0
232,Basic,High School,Unemployed,0,Single,65,13,7,Hail,Agent,1
246,Basic,High School,Employed,99144,Married,61,29,51,Hail,CallCenter,0
550,Basic,College,Medical Leave,22520,Married,73,17,64,Collision,Branch,0
524,Basic,Bachelor,Employed,36615,Married,65,14,7,Hail,CallCenter,0
2164,Basic,High School,Employed,64455,Married,108,5,43,Hail,Agent,0
489,Basic,High School,Employed,76374,Divorced,61,21,28,Hail,CallCenter,0
417,Premium,Bachelor,Employed,35457,Single,105,0,93,Collision,Branch,0
548,Basic,Master,Employed,56005,Married,68,31,30,Collision,Branch,0
618,Extended,Bachelor,Employed,61040,Married,79,12,24,Other,Agent,0
829,Basic,Bachelor,Employed,81367,Married,103,2,32,Scratch or Dent,Branch,0
989,Extended,Bachelor,Employed,44817,Married,83,23,89,Collision,Agent,0
271,Basic,High School,Employed,58508,Single,69,32,11,Hail,Web,1
1048,Extended,Bachelor,Employed,45259,Single,138,1,27,Scratch or Dent,Agent,0
344,Extended,Doctor,Employed,30817,Divorced,88,25,43,Hail,Branch,0
260,Basic,High School,Unemployed,0,Single,72,3,65,Collision,Agent,0
1273,Basic,Doctor,Employed,40870,Married,105,3,56,Collision,Agent,0
349,Extended,High School,Employed,35001,Single,96,18,87,Collision,Web,0
760,Basic,College,Employed,49937,Married,64,1,45,Scratch or Dent,Web,0
402,Premium,Bachelor,Unemployed,0,Married,109,35,75,Collision,Branch,0
2048,Basic,College,Employed,58317,Married,73,0,56,Other,CallCenter,0
816,Basic,High School,Unemployed,0,Married,109,15,61,Collision,Web,0
1230,Basic,High School,Medical Leave,17101,Single,113,1,88,Collision,CallCenter,0
871,Basic,College,Unemployed,0,Divorced,118,14,64,Collision,Agent,0
485,Basic,Bachelor,Unemployed,0,Single,65,24,53,Collision,Web,1
488,Basic,High School,Employed,24398,Married,63,14,79,Hail,Agent,0
231,Basic,College,Medical Leave,24641,Married,61,16,57,Collision,Branch,0
433,Basic,High School,Employed,69040,Married,108,4,88,Collision,CallCenter,0
1230,Basic,High School,Medical Leave,17101,Single,113,1,88,Collision,CallCenter,0
832,Basic,High School,Employed,59886,Married,104,30,1,Collision,Agent,0
1018,Premium,Bachelor,Retired,14290,Married,271,20,40,Collision,Agent,0
776,Extended,College,Employed,43137,Married,96,8,41,Hail,CallCenter,0
524,Basic,College,Employed,27978,Single,69,3,21,Collision,Branch,0
452,Basic,Bachelor,Medical Leave,25261,Married,118,31,9,Other,Branch,0
239,Basic,College,Employed,58652,Married,64,14,75,Hail,Agent,0
413,Basic,College,Retired,28321,Single,111,34,32,Scratch or Dent,Branch,0
2140,Basic,Bachelor,Unemployed,0,Single,69,35,79,Collision,Branch,0
523,Basic,College,Unemployed,0,Single,72,20,12,Collision,Agent,0
619,Extended,Bachelor,Unemployed,0,Single,88,17,25,Collision,CallCenter,0
511,Extended,College,Employed,94415,Married,127,6,53,Collision,Branch,0
1104,Basic,High School,Unemployed,0,Married,103,4,67,Hail,CallCenter,1
3223,Basic,Bachelor,Employed,45331,Married,100,0,8,Hail,Agent,0
261,Basic,High School,Employed,53904,Married,67,1,17,Scratch or Dent,Agent,0
1337,Basic,High School,Unemployed,0,Single,74,18,58,Collision,Agent,0
484,Basic,Bachelor,Unemployed,0,Divorced,70,11,36,Hail,Agent,0
472,Basic,High School,Unemployed,0,Single,67,20,38,Other,Branch,0
387,Basic,College,Retired,28142,Married,105,18,50,Hail,Agent,0
677,Extended,High School,Employed,74422,Divorced,85,4,3,Collision,CallCenter,0
1698,Basic,Bachelor,Employed,35095,Divorced,73,25,56,Hail,CallCenter,0
1368,Basic,College,Employed,55588,Married,114,15,40,Collision,Branch,0
572,Basic,Master,Employed,52391,Married,71,9,32,Hail,Web,0
949,Extended,Bachelor,Employed,42240,Married,79,25,10,Scratch or Dent,Agent,0
384,Extended,Bachelor,Employed,70146,Married,96,28,65,Hail,Branch,0
1121,Extended,College,Employed,41121,Divorced,94,20,56,Collision,CallCenter,0
2581,Extended,College,Employed,71210,Married,214,8,89,Collision,Branch,0
380,Premium,Bachelor,Unemployed,0,Married,107,34,70,Collision,Web,0
282,Basic,High School,Employed,41228,Single,71,19,13,Collision,Branch,0
695,Extended,College,Employed,40598,Single,91,35,98,Collision,Agent,0
344,Extended,College,Unemployed,0,Married,91,28,59,Hail,Branch,0
286,Basic,Bachelor,Employed,51790,Married,71,12,43,Hail,Agent,0
269,Basic,High School,Employed,92593,Single,68,4,53,Collision,Agent,0
1143,Basic,High School,Disabled,28657,Married,100,4,55,Collision,Branch,0
764,Extended,High School,Employed,30262,Married,98,0,96,Hail,Agent,0
981,Extended,Master,Employed,47197,Married,81,19,91,Hail,Agent,0
680,Extended,Bachelor,Unemployed,0,Single,94,25,20,Hail,CallCenter,0
711,Basic,Bachelor,Unemployed,0,Married,61,2,15,Collision,Agent,0
474,Extended,High School,Unemployed,0,Single,134,22,68,Scratch or Dent,Agent,1
687,Extended,College,Employed,22093,Divorced,87,15,8,Other,Branch,0
241,Basic,College,Employed,54483,Married,61,6,57,Scratch or Dent,CallCenter,0
242,Basic,College,Medical Leave,18944,Married,63,20,64,Other,CallCenter,0
2398,Basic,Bachelor,Employed,84365,Married,66,14,42,Hail,Branch,0
469,Basic,College,Unemployed,0,Married,64,20,13,Hail,Agent,0
360,Basic,High School,Retired,25147,Single,101,7,54,Collision,Agent,0
267,Basic,High School,Medical Leave,14315,Married,71,33,16,Hail,Branch,0
767,Extended,Master,Employed,87864,Married,94,19,42,Hail,Agent,0
1668,Extended,High School,Employed,57844,Married,85,16,31,Scratch or Dent,Branch,0
455,Premium,High School,Disabled,17913,Married,116,0,39,Scratch or Dent,Web,0
1176,Extended,High School,Employed,28806,Married,99,35,75,Hail,CallCenter,0
1374,Premium,High School,Employed,90343,Single,175,11,68,Collision,Branch,0
1614,Basic,Master,Employed,79041,Married,199,14,48,Hail,Branch,0
882,Basic,High School,Employed,99845,Married,110,23,25,Hail,Branch,0
667,Premium,College,Employed,85019,Married,167,26,92,Hail,Agent,0
778,Basic,High School,Employed,70059,Married,194,1,97,Hail,Agent,0
1939,Premium,College,Employed,70503,Divorced,164,11,11,Collision,Agent,0
397,Basic,Bachelor,Unemployed,0,Single,117,9,78,Hail,Agent,0
411,Basic,Bachelor,Employed,39492,Married,105,20,81,Hail,Agent,0
231,Basic,College,Unemployed,0,Single,68,9,34,Hail,Web,1
537,Basic,Bachelor,Employed,50405,Divorced,70,6,21,Scratch or Dent,CallCenter,0
551,Basic,Doctor,Employed,96021,Married,68,5,30,Scratch or Dent,Branch,0
240,Basic,High School,Unemployed,0,Married,65,26,97,Collision,Agent,0
373,Premium,High School,Unemployed,0,Single,105,13,22,Collision,Web,1
276,Basic,College,Employed,65794,Married,69,10,14,Collision,Branch,0
370,Extended,Bachelor,Employed,21975,Divorced,95,28,63,Other,Agent,0
937,Extended,High School,Unemployed,0,Married,126,19,17,Scratch or Dent,Branch,0
499,Extended,Bachelor,Employed,56649,Married,125,12,8,Collision,Branch,0
3940,Premium,Master,Unemployed,0,Single,181,22,96,Collision,CallCenter,0
276,Basic,Bachelor,Employed,92296,Married,69,4,65,Hail,Agent,0
799,Premium,Bachelor,Employed,39448,Married,103,10,14,Scratch or Dent,Web,0
524,Extended,Bachelor,Employed,71794,Married,131,19,48,Hail,Web,0
263,Basic,High School,Retired,21861,Married,69,3,11,Hail,Agent,0
276,Basic,College,Employed,31591,Married,72,17,65,Scratch or Dent,Branch,0
808,Basic,Bachelor,Employed,60662,Divorced,68,10,38,Hail,Web,0
269,Basic,College,Retired,20608,Divorced,73,10,24,Scratch or Dent,Branch,0
1221,Basic,Master,Employed,21331,Divorced,103,18,84,Collision,Agent,0
2009,Basic,College,Unemployed,0,Single,66,16,19,Collision,Agent,0
3286,Basic,High School,Employed,90783,Divorced,104,0,38,Collision,Agent,0
249,Basic,Doctor,Employed,36631,Divorced,62,30,77,Collision,Agent,0
631,Extended,High School,Unemployed,0,Married,87,15,46,Hail,Web,1
1623,Extended,College,Employed,26030,Married,139,25,29,Hail,CallCenter,0
516,Basic,College,Unemployed,0,Married,70,6,24,Collision,Web,0
398,Basic,Bachelor,Unemployed,0,Divorced,113,14,77,Scratch or Dent,Branch,0
1347,Basic,Bachelor,Employed,25302,Married,70,13,16,Hail,Branch,0
692,Extended,College,Medical Leave,16483,Married,90,14,68,Scratch or Dent,Web,0
828,Extended,High School,Unemployed,0,Single,82,29,92,Scratch or Dent,Branch,1
1435,Premium,Bachelor,Employed,73222,Married,180,24,43,Collision,CallCenter,0
588,Basic,College,Employed,22061,Married,74,25,25,Hail,Branch,0
267,Basic,High School,Employed,86321,Married,66,7,25,Scratch or Dent,CallCenter,1
535,Basic,Bachelor,Employed,54668,Married,68,3,41,Collision,CallCenter,0
478,Basic,High School,Unemployed,0,Married,62,15,80,Collision,Agent,0
1697,Premium,High School,Employed,69497,Married,142,30,31,Other,Agent,0
252,Basic,High School,Employed,86617,Single,63,9,10,Scratch or Dent,Agent,1
1916,Extended,Master,Employed,22705,Divorced,239,19,59,Hail,Agent,0
627,Extended,College,Employed,20836,Married,79,25,2,Collision,Branch,0
396,Extended,Bachelor,Employed,88410,Single,99,30,31,Other,CallCenter,0
491,Basic,Bachelor,Unemployed,0,Single,69,26,33,Other,Agent,0
781,Basic,College,Retired,21073,Divorced,106,25,54,Collision,Agent,0
720,Basic,College,Unemployed,0,Married,66,16,77,Hail,Agent,0
539,Extended,College,Employed,66429,Married,136,35,93,Hail,Agent,0
324,Extended,Doctor,Employed,66889,Married,80,6,16,Hail,CallCenter,0
553,Basic,Bachelor,Employed,36088,Single,72,16,31,Collision,Agent,0
717,Basic,Bachelor,Employed,75217,Single,61,12,47,Scratch or Dent,Branch,0
708,Basic,Bachelor,Unemployed,0,Single,68,8,9,Collision,Branch,0
370,Extended,College,Retired,17557,Married,96,6,5,Other,Web,0
533,Basic,College,Employed,81064,Single,70,20,4,Collision,Agent,0
484,Basic,High School,Unemployed,0,Single,66,2,45,Hail,Branch,1
1070,Extended,Bachelor,Employed,75313,Married,89,16,64,Collision,Web,0
788,Extended,Doctor,Employed,45703,Married,98,17,36,Other,Agent,0
787,Basic,Bachelor,Employed,40036,Married,65,2,85,Collision,Agent,0
259,Basic,Bachelor,Unemployed,0,Married,71,23,84,Hail,Branch,0
729,Basic,High School,Employed,65870,Married,61,21,40,Hail,Branch,0
1180,Basic,Bachelor,Employed,91469,Single,100,11,89,Collision,Agent,0
939,Basic,High School,Employed,42090,Married,119,0,61,Collision,Branch,0
631,Extended,Doctor,Employed,21368,Married,79,7,2,Hail,CallCenter,0
1748,Basic,Bachelor,Employed,78362,Divorced,73,16,66,Collision,Agent,0
